speaker,segment,repetition,frame,coord,point,pixel
1,pal,1,1,x,1,182
1,pal,1,1,x,2,184
1,pal,1,1,x,3,187
1,pal,1,1,x,4,189
1,pal,1,1,x,5,191
1,pal,1,1,x,6,194
1,pal,1,1,x,7,197
1,pal,1,1,x,8,200
1,pal,1,1,x,9,203
1,pal,1,1,x,10,206
1,pal,1,1,x,11,209
1,pal,1,1,x,12,212
1,pal,1,1,x,13,216
1,pal,1,1,x,14,219
1,pal,1,1,x,15,223
1,pal,1,1,x,16,226
1,pal,1,1,x,17,230
1,pal,1,1,x,18,234
1,pal,1,1,x,19,237
1,pal,1,1,x,20,241
1,pal,1,1,x,21,245
1,pal,1,1,x,22,249
1,pal,1,1,x,23,253
1,pal,1,1,x,24,256
1,pal,1,1,x,25,260
1,pal,1,1,x,26,264
1,pal,1,1,x,27,268
1,pal,1,1,x,28,271
1,pal,1,1,x,29,275
1,pal,1,1,x,30,279
1,pal,1,1,x,31,283
1,pal,1,1,x,32,287
1,pal,1,1,x,33,290
1,pal,1,1,x,34,294
1,pal,1,1,x,35,298
1,pal,1,1,x,36,301
1,pal,1,1,x,37,305
1,pal,1,1,x,38,309
1,pal,1,1,x,39,313
1,pal,1,1,x,40,316
1,pal,1,1,x,41,320
1,pal,1,1,x,42,324
1,pal,1,1,x,43,328
1,pal,1,1,x,44,331
1,pal,1,1,x,45,335
1,pal,1,1,x,46,339
1,pal,1,1,x,47,342
1,pal,1,1,x,48,346
1,pal,1,1,x,49,349
1,pal,1,1,x,50,353
1,pal,1,1,x,51,356
1,pal,1,1,x,52,360
1,pal,1,1,x,53,364
1,pal,1,1,x,54,367
1,pal,1,1,x,55,371
1,pal,1,1,x,56,375
1,pal,1,1,x,57,378
1,pal,1,1,x,58,382
1,pal,1,1,x,59,385
1,pal,1,1,x,60,389
1,pal,1,1,x,61,392
1,pal,1,1,x,62,396
1,pal,1,1,x,63,399
1,pal,1,1,x,64,403
1,pal,1,1,x,65,406
1,pal,1,1,x,66,408
1,pal,1,1,x,67,412
1,pal,1,1,x,68,414
1,pal,1,1,x,69,417
1,pal,1,1,x,70,420
1,pal,1,1,x,71,423
1,pal,1,1,x,72,426
1,pal,1,1,x,73,429
1,pal,1,1,x,74,432
1,pal,1,1,x,75,435
1,pal,1,1,x,76,438
1,pal,1,1,x,77,441
1,pal,1,1,x,78,444
1,pal,1,1,x,79,447
1,pal,1,1,x,80,450
1,pal,1,1,x,81,453
1,pal,1,1,x,82,456
1,pal,1,1,x,83,459
1,pal,1,1,x,84,462
1,pal,1,1,x,85,465
1,pal,1,1,x,86,468
1,pal,1,1,x,87,472
1,pal,1,1,x,88,475
1,pal,1,1,x,89,479
1,pal,1,1,x,90,482
1,pal,1,1,x,91,486
1,pal,1,1,x,92,489
1,pal,1,1,x,93,492
1,pal,1,1,x,94,496
1,pal,1,1,x,95,499
1,pal,1,1,x,96,502
1,pal,1,1,x,97,506
1,pal,1,1,x,98,510
1,pal,1,1,x,99,513
1,pal,1,1,y,1,182
1,pal,1,1,y,2,179
1,pal,1,1,y,3,176
1,pal,1,1,y,4,173
1,pal,1,1,y,5,170
1,pal,1,1,y,6,167
1,pal,1,1,y,7,165
1,pal,1,1,y,8,163
1,pal,1,1,y,9,161
1,pal,1,1,y,10,158
1,pal,1,1,y,11,156
1,pal,1,1,y,12,154
1,pal,1,1,y,13,153
1,pal,1,1,y,14,151
1,pal,1,1,y,15,150
1,pal,1,1,y,16,148
1,pal,1,1,y,17,147
1,pal,1,1,y,18,146
1,pal,1,1,y,19,145
1,pal,1,1,y,20,145
1,pal,1,1,y,21,145
1,pal,1,1,y,22,145
1,pal,1,1,y,23,145
1,pal,1,1,y,24,145
1,pal,1,1,y,25,145
1,pal,1,1,y,26,144
1,pal,1,1,y,27,143
1,pal,1,1,y,28,143
1,pal,1,1,y,29,143
1,pal,1,1,y,30,143
1,pal,1,1,y,31,143
1,pal,1,1,y,32,143
1,pal,1,1,y,33,144
1,pal,1,1,y,34,144
1,pal,1,1,y,35,145
1,pal,1,1,y,36,145
1,pal,1,1,y,37,147
1,pal,1,1,y,38,148
1,pal,1,1,y,39,148
1,pal,1,1,y,40,148
1,pal,1,1,y,41,149
1,pal,1,1,y,42,149
1,pal,1,1,y,43,150
1,pal,1,1,y,44,150
1,pal,1,1,y,45,151
1,pal,1,1,y,46,152
1,pal,1,1,y,47,153
1,pal,1,1,y,48,155
1,pal,1,1,y,49,156
1,pal,1,1,y,50,158
1,pal,1,1,y,51,159
1,pal,1,1,y,52,160
